Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615222	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TE-15		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	TE-15		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615223	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-MY5		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		OCI-MY5		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615224	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-MY7		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		OCI-MY7		multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615225	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCUM-1	http://www.ebi.ac.uk/efo/EFO_0006714	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	OCUM-1	http://www.ebi.ac.uk/efo/EFO_0006714	signet ring cell gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000524	Yes
SRR8615226	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OE19	http://www.ebi.ac.uk/efo/EFO_0002308	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	OE19	http://www.ebi.ac.uk/efo/EFO_0002308	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	Yes
SRR8615227	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OE21	http://www.ebi.ac.uk/efo/EFO_0002309	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	OE21	http://www.ebi.ac.uk/efo/EFO_0002309	esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615228	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OE33	http://www.ebi.ac.uk/efo/EFO_0002310	Barrett adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001939	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	OE33	http://www.ebi.ac.uk/efo/EFO_0002310	Barrett adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001939	Yes
SRR8615229	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OELE		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OELE		normal cell line	http://www.ebi.ac.uk/efo/EFO_0002922	Yes
SRR8615230	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ONCO-DG-1		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ONCO-DG-1		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615231	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MES-SA		uterine sarcoma	http://www.ebi.ac.uk/efo/EFO_0002914	soft tissue		MES-SA		uterine sarcoma	http://www.ebi.ac.uk/efo/EFO_0002914	Yes
SRR8615232	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MEL-JUSO		cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	skin	http://purl.obolibrary.org/obo/UBERON_0000014	MEL-JUSO		cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Yes
SRR8615233	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MEL-HO	http://www.ebi.ac.uk/efo/EFO_0006647	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	MEL-HO	http://www.ebi.ac.uk/efo/EFO_0006647	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615234	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MEG-01	http://www.ebi.ac.uk/efo/EFO_0002232	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		MEG-01	http://www.ebi.ac.uk/efo/EFO_0002232	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615235	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MFE-319		endometrial adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1001952	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	MFE-319		endometrial adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1001952	Yes
SRR8615236	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MFE-296		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	MFE-296		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615237	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MFE-280		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	MFE-280		endometrium adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005232	Yes
SRR8615238	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MeWo	http://www.ebi.ac.uk/efo/EFO_0006648	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	MeWo	http://www.ebi.ac.uk/efo/EFO_0006648	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615239	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHH-CALL-2		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	hematopoietic system and lymphoid system		MHH-CALL-2		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	Yes
