lineage,sublineage,cell_line
Head and Neck,Oral Cavity Squamous Cell Carcinoma,A253
Head and Neck,Head and Neck Squamous Cell Carcinoma,BB30HNC
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BB49HNC
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BHY
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR10
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR16
Head and Neck,Larynx Squamous Cell Carcinoma,BICR18
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR22
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR31
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR56
Head and Neck,Hypopharynx Squamous Cell Carcinoma,BICR6
Head and Neck,Oral Cavity Squamous Cell Carcinoma,BICR78
Head and Neck,Oral Cavity Squamous Cell Carcinoma,CA922
Head and Neck,Oral Cavity Squamous Cell Carcinoma,CAL27
Head and Neck,Oral Cavity Squamous Cell Carcinoma,CAL33
Lung,Lung Squamous Cell Carcinoma,CALU1
Head and Neck,Head and Neck Squamous Cell Carcinoma,CGTHW1
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,COLO680N
Lung,Lung Squamous Cell Carcinoma,CORL32
Head and Neck,Oropharynx Squamous Cell Carcinoma,DETROIT562
Lung,Lung Squamous Cell Carcinoma,EBC1
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,ECGI10
Lung,Lung Squamous Cell Carcinoma,EPLC272H
Head and Neck,Hypopharynx Squamous Cell Carcinoma,FADU
Lung,Lung Squamous Cell Carcinoma,GT3TKB
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H103
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H157
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H314
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H357
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H376
Head and Neck,Oral Cavity Squamous Cell Carcinoma,H413
Lung,Lung Squamous Cell Carcinoma,HARA
Lung,Lung Squamous Cell Carcinoma,HCC15
Lung,Lung Squamous Cell Carcinoma,HCC1897
Lung,Lung Squamous Cell Carcinoma,HCC2450
Lung,Lung Squamous Cell Carcinoma,HCC2814
Lung,Lung Squamous Cell Carcinoma,HCC95
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,HCE4
Lung,Lung Squamous Cell Carcinoma,HLFA
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HN
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HO1N1
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HO1U1
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HSC2
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HSC3
Head and Neck,Oral Cavity Squamous Cell Carcinoma,HSC4
Head and Neck,Sinonasal Squamous Cell Carcinoma,HSQ89
Head and Neck,Larynx Squamous Cell Carcinoma,JHU011
Head and Neck,Larynx Squamous Cell Carcinoma,JHU022
Head and Neck,Larynx Squamous Cell Carcinoma,JHU029
Lung,Lung Squamous Cell Carcinoma,KNS62
Head and Neck,Oral Cavity Squamous Cell Carcinoma,KON
Head and Neck,Oral Cavity Squamous Cell Carcinoma,KOSC2
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE140
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE150
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE180
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE220
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE270
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE30
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE410
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE450
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE50
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE510
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE520
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,KYSE70
Head and Neck,Head and Neck Squamous Cell Carcinoma,LB771HNC
Lung,Lung Squamous Cell Carcinoma,LC1F
Lung,Lung Squamous Cell Carcinoma,LC1SQ
Lung,Lung Squamous Cell Carcinoma,LC1SQSF
Lung,Lung Squamous Cell Carcinoma,LK2
Lung,Lung Squamous Cell Carcinoma,LOUNH91
Lung,Lung Squamous Cell Carcinoma,LUDLU1
Lung,Lung Squamous Cell Carcinoma,NCIH1385
Lung,Lung Squamous Cell Carcinoma,NCIH157DM
Lung,Lung Squamous Cell Carcinoma,NCIH1703
Lung,Lung Squamous Cell Carcinoma,NCIH1869
Lung,Lung Squamous Cell Carcinoma,NCIH2066
Lung,Lung Squamous Cell Carcinoma,NCIH2170
Lung,Lung Squamous Cell Carcinoma,NCIH2882
Lung,Lung Squamous Cell Carcinoma,NCIH520
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,OE19
Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,OE21
Head and Neck,Oral Cavity Squamous Cell Carcinoma,OSC19
Head and Neck,Oral Cavity Squamous Cell Carcinoma,OSC20
Head and Neck,Hypopharynx Squamous Cell Carcinoma,PCI15A
Head and Neck,Oral Cavity Squamous Cell Carcinoma,PCI30
Head and Neck,Oral Cavity Squamous Cell Carcinoma,PCI38
